"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","acronym","taxa"
"Anthyllis vulneraria L.","Accepted","Leguminosae","Anthyllis","","vulneraria","","","L.","Accepted","ANTVUL","Anthyllis  vulneraria  "
"Astragalus cider L","Accepted","Leguminosae","Astragalus","","cicer","","","L.","Accepted","ASTCIC","Astragalus  cicer  "
"Astragalus falcatus Lam.","Accepted","Leguminosae","Astragalus","","falcatus","","","Lam.","Accepted","ASTFAL","Astragalus  falcatus  "
"Astragalus glycyphyllus L.","Accepted","Leguminosae","Astragalus","","glycyphyllos","","","L.","Accepted","ASTGLY","Astragalus  glycyphyllos  "
"Coronilla varia L.","Synonym","Leguminosae","Securigera","","varia","","","(L.) Lassen","Accepted","SECVAR","Securigera  varia  "
"Galega officinalis L.","Accepted","Leguminosae","Galega","","officinalis","","","L.","Accepted","GALOFF","Galega  officinalis  "
"Hedysarum hedysaroides Schinz. & Thell.","Accepted","Leguminosae","Hedysarum","","hedysaroides","","","(L.) Schinz & Thell.","Accepted","HEDHED","Hedysarum  hedysaroides  "
"Lathyrus sylvestris L","Accepted","Leguminosae","Lathyrus","","sylvestris","","","L.","Accepted","LATSYL","Lathyrus  sylvestris  "
"Lathyrus tuberosum L.","Accepted","Leguminosae","Lathyrus","","tuberosus","","","L.","Accepted","LATTUB","Lathyrus  tuberosus  "
"Lotus corniculatus L.","Accepted","Leguminosae","Lotus","","corniculatus","","","L.","Accepted","LOTCOR","Lotus  corniculatus  "
"Lotus uliginosus Schuhr.","Synonym","Leguminosae","Lotus","","pedunculatus","","","Cav.","Accepted","LOTPED","Lotus  pedunculatus  "
"Medicago falcata","Accepted","Leguminosae","Medicago","","falcata","","","L.","Accepted","MEDFAL","Medicago  falcata  "
"Medicago glomerata Balbis.","Accepted","Leguminosae","Medicago","","glomerata","","","Balb.","Accepted","MEDGLO","Medicago  glomerata  "
"Medicago lupulina L.","Accepted","Leguminosae","Medicago","","lupulina","","","L.","Accepted","MEDLUP","Medicago  lupulina  "
"Medicago sativa L","Accepted","Leguminosae","Medicago","","sativa","","","L.","Accepted","MEDSAT","Medicago  sativa  "
"Melilotus albus Medik.","Accepted","Leguminosae","Melilotus","","albus","","","Medik.","Accepted","MELALB","Melilotus  albus  "
"Melilotus altissimus Thuill.","Accepted","Leguminosae","Melilotus","","altissimus","","","Thuill.","Accepted","MELALT","Melilotus  altissimus  "
"Melilotus dentatus Pers.","Accepted","Leguminosae","Melilotus","","dentatus","","","(Waldst. & Kit.) Pers.","Accepted","MELDEN","Melilotus  dentatus  "
"Melilotus officinalis Lam.","Unresolved","Leguminosae","Melilotus","","officinalis","","","(L.) Lam.","Unresolved","MELOFF","Melilotus  officinalis  "
"Onobrychis vicifolia Scop.","Accepted","Leguminosae","Onobrychis","","viciifolia","","","Scop.","Accepted","ONOVIC","Onobrychis  viciifolia  "
"Sarothamnus scoparius Wimm.","Synonym","Leguminosae","Cytisus","","scoparius","","","(L.) Link","Accepted","CYTSCO","Cytisus  scoparius  "
"Trifolium hybridum L.","Accepted","Leguminosae","Trifolium","","hybridum","","","L.","Accepted","TRIHYB","Trifolium  hybridum  "
"Trifolium pratense L.","Accepted","Leguminosae","Trifolium","","pratense","","","L.","Accepted","TRIPRA","Trifolium  pratense  "
"Trifolium repens L.","Accepted","Leguminosae","Trifolium","","repens","","","L.","Accepted","TRIREP","Trifolium  repens  "
"Trifolium pannonicum Jacq.","Accepted","Leguminosae","Trifolium","","pannonicum","","","Jacq.","Accepted","TRIPAN","Trifolium  pannonicum  "
"Ulex europaeus L","Accepted","Leguminosae","Ulex","","europaeus","","","L.","Accepted","ULEEUR","Ulex  europaeus  "
"Vicia cracca L","Accepted","Leguminosae","Vicia","","cracca","","","L.","Accepted","VICCRA","Vicia  cracca  "
"Vicia hirsuta","Accepted","Leguminosae","Vicia","","hirsuta","","","(L.) Gray","Accepted","VICHIR","Vicia  hirsuta  "
"Vicia pannonica Crantz.","Accepted","Leguminosae","Vicia","","pannonica","","","Crantz","Accepted","VICPAN","Vicia  pannonica  "
"Agropyron caninum P.B.","Synonym","Poaceae","Elymus","","caninus","","","(L.) L.","Accepted","ELYCAN","Elymus  caninus  "
"Agropyron cristatum L. Gaertn.","Accepted","Poaceae","Agropyron","","cristatum","","","(L.) Gaertn.","Accepted","AGRCRI","Agropyron  cristatum  "
"Agropyron intermedium","Synonym","Poaceae","Elymus","","hispidus","","","(Opiz) Melderis","Accepted","ELYHIS","Elymus  hispidus  "
"Agropyron repens","Synonym","Poaceae","Elymus","","repens","","","(L.) Gould","Accepted","ELYREP","Elymus  repens  "
"Agrostis canina L.","Accepted","Poaceae","Agrostis","","canina","","","L.","Accepted","AGRCAN","Agrostis  canina  "
"Agrostis gigantea Roth.","Accepted","Poaceae","Agrostis","","gigantea","","","Roth","Accepted","AGRGIG","Agrostis  gigantea  "
"Agrostis tenuis Sibth.","Synonym","Poaceae","Agrostis","","capillaris","","","L.","Accepted","AGRCAP","Agrostis  capillaris  "
"Alopecurus pratensis L","Accepted","Poaceae","Alopecurus","","pratensis","","","L.","Accepted","ALOPRA","Alopecurus  pratensis  "
"Ammophila arenaria Link","Accepted","Poaceae","Ammophila","","arenaria","","","(L.) Link","Accepted","AMMARE","Ammophila  arenaria  "
"Anthoxanthum oduratum L.","Accepted","Poaceae","Anthoxanthum","","odoratum","","","L.","Accepted","ANTODO","Anthoxanthum  odoratum  "
"Arrhenatherum avenaceum Beauv.","Synonym","Poaceae","Arrhenatherum","","elatius","","","(L.) P.Beauv. ex J.Presl & C.Presl.","Accepted","ARRELA","Arrhenatherum  elatius  "
"Avena fatua","Accepted","Poaceae","Avena","","fatua","","","L.","Accepted","AVEFAT","Avena  fatua  "
"Bromus erectus Huds.","Accepted","Poaceae","Bromus","","erectus","","","Huds.","Accepted","BROERE","Bromus  erectus  "
"Bromus inermis Leyss.","Accepted","Poaceae","Bromus","","inermis","","","Leyss.","Accepted","BROINE","Bromus  inermis  "
"Cynosurus cristatus L","Accepted","Poaceae","Cynosurus","","cristatus","","","L.","Accepted","CYNCRI","Cynosurus  cristatus  "
"Dactylis glomerata L.","Accepted","Poaceae","Dactylis","","glomerata","","","L.","Accepted","DACGLO","Dactylis  glomerata  "
"Digitaria sanguinalis Scop.","Accepted","Poaceae","Digitaria","","sanguinalis","","","(L.) Scop.","Accepted","DIGSAN","Digitaria  sanguinalis  "
"Festuca arundinacea Schreb.","Accepted","Poaceae","Festuca","","arundinacea","","","Schreb.","Accepted","FESARU","Festuca  arundinacea  "
"Festuca ovina L","Accepted","Poaceae","Festuca","","ovina","","","L.","Accepted","FESOVI","Festuca  ovina  "
"Festuca pratensis Huds.","Accepted","Poaceae","Festuca","","pratensis","","","Huds.","Accepted","FESPRA","Festuca  pratensis  "
"Festuca rubra L.","Accepted","Poaceae","Festuca","","rubra","","","L.","Accepted","FESRUB","Festuca  rubra  "
"Glyceria fluitans R.Br.","Accepted","Poaceae","Glyceria","","fluitans","","","(L.) R.Br.","Accepted","GLYFLU","Glyceria  fluitans  "
"Holcus lanatus L.","Accepted","Poaceae","Holcus","","lanatus","","","L.","Accepted","HOLLAN","Holcus  lanatus  "
"Lolium multiflorum Lamm. Var. westerwoldicum","Accepted","Poaceae","Lolium","","multiflorum","","","Lam.","Accepted","LOLMUL","Lolium  multiflorum  "
"Lolium perenne L","Accepted","Poaceae","Lolium","","perenne","","","L.","Accepted","LOLPER","Lolium  perenne  "
"Phalaris arundinacea L","Accepted","Poaceae","Phalaris","","arundinacea","","","L.","Accepted","PHAARU","Phalaris  arundinacea  "
"Phleum pratense L.","Accepted","Poaceae","Phleum","","pratense","","","L.","Accepted","PHLPRA","Phleum  pratense  "
"Poa palustris L.","Accepted","Poaceae","Poa","","palustris","","","L.","Accepted","POAPAL","Poa  palustris  "
"Poa pratensis L.","Accepted","Poaceae","Poa","","pratensis","","","L.","Accepted","POAPRA","Poa  pratensis  "
"Poa triviaalis L.","Accepted","Poaceae","Poa","","trivialis","","","L.","Accepted","POATRI","Poa  trivialis  "
"Spartina townsendii H. et J. Grooves","Accepted","Poaceae","Spartina","×","townsendii","","","H.Groves & J.Groves","Accepted","SPATOW","Spartina × townsendii  "
"Trisetum flavescens","Accepted","Poaceae","Trisetum","","flavescens","","","(L.) P.Beauv.","Accepted","TRIFLA","Trisetum  flavescens  "
"Acorus calamus L.","Accepted","Acoraceae","Acorus","","calamus","","","L.","Accepted","ACOCAL","Acorus  calamus  "
"Allium ampeloprasum L.","Accepted","Amaryllidaceae","Allium","","ampeloprasum","","","L.","Accepted","ALLAMP","Allium  ampeloprasum  "
"Allium scorodoprasum L.","Accepted","Amaryllidaceae","Allium","","scorodoprasum","","","L.","Accepted","ALLSCO","Allium  scorodoprasum  "
"Aristolochia clematis L.","Accepted","Aristolochiaceae","Aristolochia","","clematitis","","","L.","Accepted","ARICLE","Aristolochia  clematitis  "
"Cynanchum vincetoxicum","Synonym","Apocynaceae","Vincetoxicum","","hirundinaria","","","Medik.","Accepted","VINHIR","Vincetoxicum  hirundinaria  "
"Berberis vulgaris L.","Accepted","Berberidaceae","Berberis","","vulgaris","","","L.","Accepted","BERVUL","Berberis  vulgaris  "
"Arctium lappa L.( greater burdock)","Accepted","Compositae","Arctium","","lappa","","","L.","Accepted","ARCLAP","Arctium  lappa  "
"Cota tinctoria","Accepted","Compositae","Cota","","tinctoria","","","(L.) J.Gay","Accepted","COTTIN","Cota  tinctoria  "
"Artemisia abrotanum L.( lad's love)","Accepted","Compositae","Artemisia","","abrotanum","","","L.","Accepted","ARTABR","Artemisia  abrotanum  "
"Artemisia maritima L.","Accepted","Compositae","Artemisia","","maritima","","","L.","Accepted","ARTMAR","Artemisia  maritima  "
"Artemisia absinthum L.","Accepted","Compositae","Artemisia","","absinthium","","","L.","Accepted","ARTABS","Artemisia  absinthium  "
"Artemisia vulgaris L","Accepted","Compositae","Artemisia","","vulgaris","","","L.","Accepted","ARTVUL","Artemisia  vulgaris  "
"Anthemis nobilis L.","Synonym","Compositae","Chamaemelum","","nobile","","","(L.) All.","Accepted","CHANOB","Chamaemelum  nobile  "
"Atriplex hortensis L.","Accepted","Amaranthaceae","Atriplex","","hortensis","","","L.","Accepted","ATRHOR","Atriplex  hortensis  "
"Brassica rapa L.( Turnip)","Accepted","Brassicaceae","Brassica","","rapa","","","L.","Accepted","BRARAP","Brassica  rapa  "
"Brassica napus var. napobrassica","Synonym","Brassicaceae","Brassica","","napus","","","L.","Accepted","BRANAP","Brassica  napus  "
"Brassica nigra","Accepted","Brassicaceae","Brassica","","nigra","","","(L.) K.Koch","Accepted","BRANIG","Brassica  nigra  "
"Cochlearia officinalis L","Accepted","Brassicaceae","Cochlearia","","officinalis","","","L.","Accepted","COCOFF","Cochlearia  officinalis  "
"Beta vulgaris L.","Accepted","Amaranthaceae","Beta","","vulgaris","","","L.","Accepted","BETVUL","Beta  vulgaris  "
"Crambe maritima L","Accepted","Brassicaceae","Crambe","","maritima","","","L.","Accepted","CRAMAR","Crambe  maritima  "
"Campanula rapunculus L.","Accepted","Campanulaceae","Campanula","","rapunculus","","","L.","Accepted","CAMRAP","Campanula  rapunculus  "
"Hesperis matronalis L.","Accepted","Brassicaceae","Hesperis","","matronalis","","","L.","Accepted","HESMAT","Hesperis  matronalis  "
"Nasturtium officinalis R. Br.","Accepted","Brassicaceae","Nasturtium","","officinale","","","R.Br.","Accepted","NASOFF","Nasturtium  officinale  "
"Bryonia alba L.","Accepted","Cucurbitaceae","Bryonia","","alba","","","L.","Accepted","BRYALB","Bryonia  alba  "
"Bryonia cretica ssp. dioica L.","Accepted","Cucurbitaceae","Bryonia","","cretica","subsp.","dioica","(Jacq.) Tutin","Accepted","BRYCRED","Bryonia  cretica subsp. dioica"
"Carex arenaria L.","Accepted","Cyperaceae","Carex","","arenaria","","","L.","Accepted","CARARE","Carex  arenaria  "
"Scirpus lacustrus L.","Synonym","Cyperaceae","Schoenoplectus","","lacustris","","","(L.) Palla","Accepted","SCHLAC","Schoenoplectus  lacustris  "
"Carum carvi L.","Accepted","Apiaceae","Carum","","carvi","","","L.","Accepted","CARCAR","Carum  carvi  "
"Chenopodium bonus-henricus L.","Accepted","Amaranthaceae","Chenopodium","","bonus-henricus","","","L.","Accepted","CHEBON","Chenopodium  bonus-henricus  "
"Chenopodium foliosum Aschers.","Accepted","Amaranthaceae","Chenopodium","","foliosum","","","Asch.","Accepted","CHEFOL","Chenopodium  foliosum  "
"Chenopodium album L.","Accepted","Amaranthaceae","Chenopodium","","album","","","L.","Accepted","CHEALB","Chenopodium  album  "
"Cichorium intybus L.","Accepted","Compositae","Cichorium","","intybus","","","L.","Accepted","CICINT","Cichorium  intybus  "
"Sedum reflexum L.","Synonym","Crassulaceae","Sedum","","rupestre","","","L.","Accepted","SEDRUP","Sedum  rupestre  "
"Sempervivum tectorum L.","Accepted","Crassulaceae","Sempervivum","","tectorum","","","L.","Accepted","SEMTEC","Sempervivum  tectorum  "
"Barbarea praecox R. Br.","Synonym","Brassicaceae","Barbarea","","verna","","","(Mill.) Asch.","Accepted","BARVER","Barbarea  verna  "
"Barbarea vulgaris R. Br.","Accepted","Brassicaceae","Barbarea","","vulgaris","","","R.Br.","Accepted","BARVUL","Barbarea  vulgaris  "
"Armoracia rusticana","Accepted","Brassicaceae","Armoracia","","rusticana","","","P.Gaertn., B.Mey. & Scherb.","Accepted","ARMRUS","Armoracia  rusticana  "
"Humulus lupulus L.","Accepted","Cannabaceae","Humulus","","lupulus","","","L.","Accepted","HUMLUP","Humulus  lupulus  "
"Ribes acicularis Smith","Accepted","Grossulariaceae","Ribes","","aciculare","","","Sm.","Accepted","RIBACI","Ribes  aciculare  "
"Ribes grossularia L.","Synonym","Grossulariaceae","Ribes","","uva-crispa","","","L.","Accepted","RIBUVA","Ribes  uva-crispa  "
"Ribes nigrum L.","Accepted","Grossulariaceae","Ribes","","nigrum","","","L.","Accepted","RIBNIG","Ribes  nigrum  "
"Ribes petraeum Wulfen.","Accepted","Grossulariaceae","Ribes","","petraeum","","","Wulfen","Accepted","RIBPET","Ribes  petraeum  "
"Ribes sativum Syme","Accepted","Grossulariaceae","Ribes","","sativum","","","(Rchb.) Syme","Accepted","RIBSAT","Ribes  sativum  "
"Ribes spicatum Robson.","Accepted","Grossulariaceae","Ribes","","spicatum","","","Robson","Accepted","RIBSPI","Ribes  spicatum  "
"Juglans regia L","Accepted","Juglandaceae","Juglans","","regia","","","L.","Accepted","JUGREG","Juglans  regia  "
"Rumex acetosa L.","Accepted","Polygonaceae","Rumex","","acetosa","","","L.","Accepted","RUMACE","Rumex  acetosa  "
"Rumex alpinus L.","Accepted","Polygonaceae","Rumex","","alpinus","","","L.","Accepted","RUMALP","Rumex  alpinus  "
"Rumex obtusifolus L.","Accepted","Polygonaceae","Rumex","","obtusifolius","","","L.","Accepted","RUMOBT","Rumex  obtusifolius  "
"Rumex patientia L.","Accepted","Polygonaceae","Rumex","","patientia","","","L.","Accepted","RUMPAT","Rumex  patientia  "
"Rumex scutatus L.","Accepted","Polygonaceae","Rumex","","scutatus","","","L.","Accepted","RUMSCU","Rumex  scutatus  "
"Portulaca oleracea L.","Accepted","Portulacaceae","Portulaca","","oleracea","","","L.","Accepted","POROLE","Portulaca  oleracea  "
"Aconitum napellus L.","Accepted","Ranunculaceae","Aconitum","","napellus","","","L.","Accepted","ACONAP","Aconitum  napellus  "
"Rhamnus catharticus L.","Accepted","Rhamnaceae","Rhamnus","","cathartica","","","L.","Accepted","RHACAT","Rhamnus  cathartica  "
"Rhamnus frangula L.","Synonym","Rhamnaceae","Frangula","","alnus","","","Mill.","Accepted","FRAALN","Frangula  alnus  "
"Saponaria officinalis L","Accepted","Caryophyllaceae","Saponaria","","officinalis","","","L.","Accepted","SAPOFF","Saponaria  officinalis  "
"Spergula arvensis L.","Accepted","Caryophyllaceae","Spergula","","arvensis","","","L.","Accepted","SPEARV","Spergula  arvensis  "
"Mentha cardica Gerard ex Baker","Accepted","Lamiaceae","Mentha","","cardiaca","","","J. Gerard ex Baker","Accepted","MENCAR","Mentha  cardiaca  "
"Mentha rotudifolia","Synonym","Lamiaceae","Mentha","","longifolia","","","(L.) L.","Accepted","MENLON","Mentha  longifolia  "
"Mentha spicata","Accepted","Lamiaceae","Mentha","","spicata","","","L.","Accepted","MENSPI","Mentha  spicata  "
"Mentha suaveolens Ehrh.","Accepted","Lamiaceae","Mentha","","suaveolens","","","Ehrh.","Accepted","MENSUA","Mentha  suaveolens  "
"Mentha x Villosa Hudson","Accepted","Lamiaceae","Mentha","×","villosa","","","Huds.","Accepted","MENVIL","Mentha × villosa  "
"Mentha x Piperita L.","Accepted","Lamiaceae","Mentha","×","piperita","","","L.","Accepted","MENPIP","Mentha × piperita  "
"Nepeta cataria L.","Accepted","Lamiaceae","Nepeta","","cataria","","","L.","Accepted","NEPCAT","Nepeta  cataria  "
"Origanum vulgare L.","Accepted","Lamiaceae","Origanum","","vulgare","","","L.","Accepted","ORIVUL","Origanum  vulgare  "
"Asparagus officinalis L.","Accepted","Asparagaceae","Asparagus","","officinalis","","","L.","Accepted","ASPOFF","Asparagus  officinalis  "
"Convallaria majalis L","Accepted","Asparagaceae","Convallaria","","majalis","","","L.","Accepted","CONMAJ","Convallaria  majalis  "
"Linum asitatissimum L.","Accepted","Linaceae","Linum","","usitatissimum","","","L.","Accepted","LINUSI","Linum  usitatissimum  "
"Amygdalus besseriana Schott.","Unresolved","Rosaceae","Amygdalus","","besseriana","","","Schott","Unresolved","AMYBES","Amygdalus  besseriana  "
"Armeniaca brigantina","Unresolved","Rosaceae","Armeniaca","","brigantiaca","","","(Vill.) Pers.","Unresolved","ARMBRI","Armeniaca  brigantiaca  "
"Prunus sibirica L","Accepted","Rosaceae","Prunus","","sibirica","","","L.","Accepted","PRUSIB","Prunus  sibirica  "
"Fragaria X Ananassa","Accepted","Rosaceae","Fragaria","×","ananassa","","","(Duchesne ex Weston) Duchesne ex Rozier","Accepted","FRAANA","Fragaria × ananassa  "
"Fragaria moschata Duch.","Unresolved","Rosaceae","Fragaria","","moschata","","","auct.","Unresolved","FRAMOS","Fragaria  moschata  "
"Fragaria vesca L.","Accepted","Rosaceae","Fragaria","","vesca","","","L.","Accepted","FRAVES","Fragaria  vesca  "
"Fragaria viridis Duch.","Synonym","Rosaceae","Fragaria","","viridis","","","Weston","Accepted","FRAVIR","Fragaria  viridis  "
"Malus baccata","Accepted","Rosaceae","Malus","","baccata","","","(L.) Borkh.","Accepted","MALBAC","Malus  baccata  "
"Malus x prunifolia","Accepted","Rosaceae","Malus","×","prunifolia","","","(Willd.) Borkh.","Accepted","MALPRU","Malus × prunifolia  "
"Malus pumila Mill.","Accepted","Rosaceae","Malus","","pumila","","","Mill.","Accepted","MALPUM","Malus  pumila  "
"Prunus cerasus L.","Accepted","Rosaceae","Prunus","","cerasus","","","L.","Accepted","PRUCER","Prunus  cerasus  "
"Prunus domestica L.","Accepted","Rosaceae","Prunus","","domestica","","","L.","Accepted","PRUDOM","Prunus  domestica  "
"Prunus fruticosa Pall.","Accepted","Rosaceae","Prunus","","fruticosa","","","Pall.","Accepted","PRUFRU","Prunus  fruticosa  "
"Prunus insititia L.","Synonym","Rosaceae","Prunus","","domestica","subsp.","insititia","(L.) Bonnier & Layens","Accepted","PRUDOMI","Prunus  domestica subsp. insititia"
"Prunus mahaleb L.","Accepted","Rosaceae","Prunus","","mahaleb","","","L.","Accepted","PRUMAH","Prunus  mahaleb  "
"Pyracantha coccinea M.J. Roemer","Accepted","Rosaceae","Pyracantha","","coccinea","","","M.Roem.","Accepted","PYRCOC","Pyracantha  coccinea  "
"Pyrus communis L.","Accepted","Rosaceae","Pyrus","","communis","","","L.","Accepted","PYRCOM","Pyrus  communis  "
"Pyrus cordata Desv.","Accepted","Rosaceae","Pyrus","","cordata","","","Desv.","Accepted","PYRCOR","Pyrus  cordata  "
"Rosa X Alba","Synonym","Rosaceae","Rosa","","alba","","","L.","Accepted","ROSALB","Rosa  alba  "
"Rosa arvensis Hudson.","Accepted","Rosaceae","Rosa","","arvensis","","","Huds.","Accepted","ROSARV","Rosa  arvensis  "
"Rosa X Bifera","Synonym","Rosaceae","Rosa","×","damascena","","","Mill.","Unresolved","ROSDAM","Rosa × damascena  "
"Rosa canina L.","Accepted","Rosaceae","Rosa","","canina","","","L.","Accepted","ROSCAN","Rosa  canina  "
"Rosa gallica L.","Accepted","Rosaceae","Rosa","","gallica","","","L.","Accepted","ROSGAL","Rosa  gallica  "
"Rosa rubiginosa L.","Accepted","Rosaceae","Rosa","","rubiginosa","","","L.","Accepted","ROSRUB","Rosa  rubiginosa  "
"Rosa villosa L.","Accepted","Rosaceae","Rosa","","villosa","","","L.","Accepted","ROSVIL","Rosa  villosa  "
"Rubus arcticus L.","Accepted","Rosaceae","Rubus","","arcticus","","","L.","Accepted","RUBARC","Rubus  arcticus  "
"Rubus chamaemorus L.","Accepted","Rosaceae","Rubus","","chamaemorus","","","L.","Accepted","RUBCHA","Rubus  chamaemorus  "
"Rubus idaeus L.","Accepted","Rosaceae","Rubus","","idaeus","","","L.","Accepted","RUBIDA","Rubus  idaeus  "
"Rubus laciniatus Willd.","Accepted","Rosaceae","Rubus","","laciniatus","","","(Weston) Willd.","Accepted","RUBLAC","Rubus  laciniatus  "
"Rubus saxatilis L","Accepted","Rosaceae","Rubus","","saxatilis","","","L.","Accepted","RUBSAX","Rubus  saxatilis  "
"Sanguisorba minor Scop.","Accepted","Rosaceae","Sanguisorba","","minor","","","Scop.","Accepted","SANMIN","Sanguisorba  minor  "
"Sanguisorba officinalis L.","Accepted","Rosaceae","Sanguisorba","","officinalis","","","L.","Accepted","SANOFF","Sanguisorba  officinalis  "
"Sorbus domestica L.","Accepted","Rosaceae","Sorbus","","domestica","","","L.","Accepted","SORDOM","Sorbus  domestica  "
"Rubia tinctorum L","Accepted","Rubiaceae","Rubia","","tinctorum","","","L.","Accepted","RUBTIN","Rubia  tinctorum  "
"Paeonia officinalis L.","Accepted","Paeoniaceae","Paeonia","","officinalis","","","L.","Accepted","PAEOFF","Paeonia  officinalis  "
"Salix acutifolia L.","Accepted","Salicaceae","Salix","","acutifolia","","","Willd.","Accepted","SALACU","Salix  acutifolia  "
"Salix alba L.","Accepted","Salicaceae","Salix","","alba","","","L.","Accepted","SALALB","Salix  alba  "
"Salix caprea L.","Accepted","Salicaceae","Salix","","caprea","","","L.","Accepted","SALCAP","Salix  caprea  "
"Salix fragilis L.","Accepted","Salicaceae","Salix","×","fragilis","","","L.","Accepted","SALFRA","Salix × fragilis  "
"Salix purpurea L.","Accepted","Salicaceae","Salix","","purpurea","","","L.","Accepted","SALPUR","Salix  purpurea  "
"Salix triandra L.","Accepted","Salicaceae","Salix","","triandra","","","L.","Accepted","SALTRI","Salix  triandra  "
"Salix viminalis L.","Accepted","Salicaceae","Salix","","viminalis","","","L.","Accepted","SALVIM","Salix  viminalis  "
"Sambucus nigra L.","Accepted","Adoxaceae","Sambucus","","nigra","","","L.","Accepted","SAMNIG","Sambucus  nigra  "
"Bergenia crassifolia Fritsch.","Accepted","Saxifragaceae","Bergenia","","crassifolia","","","(L.) Fritsch","Accepted","BERCRA","Bergenia  crassifolia  "
"Digitalis lanata Ehrh.","Accepted","Plantaginaceae","Digitalis","","lanata","","","Ehrh.","Accepted","DIGLAN","Digitalis  lanata  "
"Digitalis purpurea L.","Accepted","Plantaginaceae","Digitalis","","purpurea","","","L.","Accepted","DIGPUR","Digitalis  purpurea  "
"Verbascum thapsiforme Schrad.","Synonym","Scrophulariaceae","Verbascum","","densiflorum","","","Bertol.","Accepted","VERDEN","Verbascum  densiflorum  "
"Scopolia carniolica Jacq.","Accepted","Solanaceae","Scopolia","","carniolica","","","Jacq.","Accepted","SCOCAR","Scopolia  carniolica  "
"Angelica archangelica L","Accepted","Apiaceae","Angelica","","archangelica","","","L.","Accepted","ANGARC","Angelica  archangelica  "
"Anthriscus cerefolium Sprengel","Accepted","Apiaceae","Anthriscus","","cerefolium","","","(L.) Hoffm.","Accepted","ANTCER","Anthriscus  cerefolium  "
"Bunium bulbocastanum L.","Accepted","Apiaceae","Bunium","","bulbocastanum","","","L.","Accepted","BUNBUL","Bunium  bulbocastanum  "
"Chaerophyllum bulbosum L.","Accepted","Apiaceae","Chaerophyllum","","bulbosum","","","L.","Accepted","CHABUL","Chaerophyllum  bulbosum  "
"Daucus carota L","Accepted","Apiaceae","Daucus","","carota","","","L.","Accepted","DAUCAR","Daucus  carota  "
"Levisticum officinale Koch.","Accepted","Apiaceae","Levisticum","","officinale","","","W.D.J.Koch","Accepted","LEVOFF","Levisticum  officinale  "
"Myrrhis odorata","Accepted","Apiaceae","Myrrhis","","odorata","","","(L.) Scop.","Accepted","MYRODO","Myrrhis  odorata  "
"Pastinaca sativa L.","Accepted","Apiaceae","Pastinaca","","sativa","","","L.","Accepted","PASSAT","Pastinaca  sativa  "
"Peucedanum cervaria","Accepted","Apiaceae","Peucedanum","","cervaria","","","(L.) Cusson ex Lapeyr.","Accepted","PEUCER","Peucedanum  cervaria  "
"Peucedanum ostrunthium","Accepted","Apiaceae","Peucedanum","","ostruthium","","","(L.) W.D.J.Koch","Accepted","PEUOST","Peucedanum  ostruthium  "
"Valeriana collina Wallr.","Synonym","Caprifoliaceae","Valeriana","","officinalis","subsp.","collina","(Wallr.) Nyman","Accepted","VALOFFC","Valeriana  officinalis subsp. collina"
"Valeriana locusta","Synonym","Caprifoliaceae","Valerianella","","locusta","","","(L.) Laterr.","Accepted","VALLOC","Valerianella  locusta  "
"Valeriana officinalis L.","Accepted","Caprifoliaceae","Valeriana","","officinalis","","","L.","Accepted","VALOFF","Valeriana  officinalis  "
"Viola tricolor L","Accepted","Violaceae","Viola","","tricolor","","","L.","Accepted","VIOTRI","Viola  tricolor  "
